PaymentID,BillID,PaymentMethod,PaymentStatus,PaymentDate,AmountPaid
213,213,Insurance,Paid,2025-06-16,1397.99
214,214,Insurance,Paid,2026-05-20,2651.33
215,215,UPI,Paid,2024-12-18,2956.02
216,216,Credit Card,Paid,2024-02-13,3532.61
217,217,UPI,Pending,,0.0
218,218,Cash,Paid,2026-07-09,2647.82
219,219,Cash,Paid,2024-08-26,2093.83
220,220,Insurance,Paid,2025-05-27,2072.68
221,221,Insurance,Paid,2026-01-30,2738.74
222,222,Credit Card,Pending,,0.0
223,223,Credit Card,Pending,,0.0
224,224,Debit Card,Paid,2026-07-06,1518.34
225,225,Cash,Paid,2026-07-04,2246.27
226,226,UPI,Paid,2026-07-05,2434.51
227,227,UPI,Pending,,0.0
228,228,Insurance,Paid,2024-09-02,1691.13
229,229,UPI,Paid,2026-04-24,2711.87
230,230,Cash,Paid,2026-02-20,2570.57
231,231,UPI,Paid,2025-12-25,2500.0
232,232,UPI,Paid,2025-06-29,1588.56
233,233,UPI,Paid,2025-10-13,2664.82
234,234,Insurance,Paid,2025-05-22,1591.36
235,235,UPI,Paid,2026-07-07,2503.96
236,236,Cash,Paid,2026-06-01,3291.4
237,237,Credit Card,Paid,2026-07-08,1586.88
238,238,Debit Card,Paid,2025-04-07,2618.23
239,239,Insurance,Paid,2026-02-28,2893.37
240,240,UPI,Paid,2026-07-06,2082.6
241,241,Debit Card,Paid,2026-06-22,1809.51
242,242,Insurance,Paid,2024-12-31,2780.79
243,243,Insurance,Paid,2026-01-11,3229.19
244,244,Insurance,Paid,2026-07-05,1430.25
245,245,Cash,Paid,2026-07-05,877.42
246,246,UPI,Paid,2026-07-07,3135.67
247,247,Cash,Paid,2024-12-17,1941.8
248,248,Debit Card,Paid,2026-07-04,3200.1
249,249,Credit Card,Paid,2025-05-07,1633.73
250,250,Credit Card,Paid,2024-12-18,2766.32
251,251,Cash,Paid,2026-07-05,2979.86
252,252,Debit Card,Paid,2026-02-07,2948.19
253,253,Cash,Paid,2026-04-07,3111.35
254,254,Insurance,Paid,2024-12-16,2021.68
255,255,Credit Card,Paid,2026-07-05,1263.63
256,256,Debit Card,Paid,2026-06-10,1190.97
257,257,Cash,Paid,2025-09-01,2722.3
258,258,Insurance,Paid,2024-11-30,2220.23
259,259,Debit Card,Paid,2026-07-08,1865.91
260,260,UPI,Paid,2026-07-07,2382.64
261,261,UPI,Paid,2024-11-21,3065.28
262,262,Insurance,Paid,2026-06-27,2688.0
263,263,Insurance,Paid,2025-06-11,2344.56
264,264,Debit Card,Paid,2025-05-20,2667.0
265,265,Insurance,Paid,2024-06-14,2375.71
266,266,Debit Card,Paid,2026-07-08,2541.1
267,267,Insurance,Paid,2025-02-23,2672.31
268,268,Debit Card,Refunded,2026-07-09,2521.56
269,269,UPI,Paid,2024-10-02,2035.06
270,270,Credit Card,Paid,2025-04-20,2921.62
271,271,Cash,Paid,2024-01-14,2705.37
272,272,Insurance,Paid,2023-12-01,1899.94
273,273,Credit Card,Paid,2023-08-04,2240.31
274,274,Credit Card,Paid,2026-01-11,2747.41
275,275,Cash,Paid,2025-05-20,3601.14
276,276,Cash,Paid,2025-07-01,1875.83
277,277,Cash,Paid,2026-07-05,3238.48
278,278,Debit Card,Paid,2026-07-07,1787.92
279,279,Cash,Paid,2025-04-11,2885.83
280,280,Debit Card,Paid,2026-01-26,1600.68
281,281,Debit Card,Paid,2024-02-12,2812.49
282,282,Cash,Paid,2025-10-09,2869.25
283,283,Debit Card,Paid,2024-12-24,2167.3
284,284,Credit Card,Paid,2025-03-09,2661.16
285,285,Insurance,Paid,2026-07-05,3438.67
286,286,Credit Card,Paid,2026-06-07,2732.32
287,287,UPI,Paid,2026-07-08,1464.42
288,288,Insurance,Paid,2025-06-09,2292.23
289,289,Insurance,Paid,2026-07-05,1933.43
290,290,Credit Card,Paid,2026-06-19,3223.7
291,291,Cash,Paid,2026-07-04,1840.16
292,292,UPI,Paid,2025-03-14,1739.7
293,293,Insurance,Paid,2026-07-08,3447.73
294,294,Debit Card,Paid,2026-07-07,2231.25
295,295,Debit Card,Pending,,0.0
296,296,UPI,Pending,,0.0
297,297,UPI,Paid,2026-07-05,3032.88
298,298,Insurance,Paid,2025-03-23,2394.48
299,299,Cash,Paid,2024-09-25,1636.04
300,300,Credit Card,Paid,2026-07-08,1536.92
301,301,Cash,Paid,2026-07-06,1382.78
302,302,Cash,Paid,2026-03-30,2974.42
303,303,UPI,Paid,2026-07-09,2137.1
304,304,UPI,Paid,2024-09-27,2514.47
305,305,UPI,Paid,2025-05-27,2252.03
306,306,Cash,Paid,2025-07-18,1992.69
307,307,Credit Card,Paid,2026-07-06,1896.24
308,308,Insurance,Paid,2025-08-27,1684.15
309,309,UPI,Paid,2024-05-15,2100.42
310,310,Cash,Paid,2026-07-05,3145.45
311,311,Debit Card,Paid,2025-03-12,1004.56
312,312,Cash,Paid,2026-07-07,1634.28
313,313,UPI,Paid,2026-07-08,2322.17
314,314,UPI,Paid,2024-11-12,3085.9
315,315,Cash,Paid,2024-12-03,2284.7
316,316,Credit Card,Paid,2025-04-16,1372.25
317,317,Debit Card,Paid,2026-07-04,3134.35
318,318,UPI,Paid,2026-07-06,2752.26
319,319,Cash,Paid,2026-07-06,2820.79
320,320,Cash,Paid,2026-07-04,2103.19
321,321,Cash,Paid,2026-07-08,2074.05
322,322,Credit Card,Paid,2026-07-08,3274.59
323,323,Cash,Paid,2024-06-04,1689.24
324,324,Cash,Paid,2026-02-20,1610.73
325,325,Insurance,Paid,2026-07-06,3181.25
326,326,Debit Card,Paid,2026-07-09,2596.79
327,327,Cash,Paid,2026-07-09,3249.75
328,328,Cash,Paid,2025-01-27,2430.73
329,329,Debit Card,Paid,2025-10-26,1618.18
330,330,Credit Card,Paid,2024-03-23,1794.21
331,331,UPI,Paid,2026-04-08,1308.38
332,332,Credit Card,Pending,,0.0
333,333,Debit Card,Refunded,2025-07-16,2427.56
334,334,Debit Card,Paid,2026-07-07,1811.42
335,335,Cash,Paid,2024-08-28,2243.71
336,336,UPI,Paid,2023-11-14,2221.77
337,337,Cash,Paid,2026-07-04,1497.09
338,338,Cash,Paid,2026-03-31,2113.86
339,339,UPI,Paid,2023-12-13,1840.53
340,340,Cash,Paid,2026-07-05,2643.55
341,341,UPI,Paid,2024-07-27,1969.2
342,342,Cash,Paid,2026-07-06,2123.92
343,343,Debit Card,Paid,2026-07-06,2697.14
344,344,Cash,Paid,2023-12-11,1860.03
345,345,UPI,Paid,2026-01-30,2617.9
346,346,Cash,Paid,2024-03-28,2016.13
347,347,Credit Card,Paid,2026-07-09,3156.49
348,348,Credit Card,Pending,,0.0
349,349,Debit Card,Paid,2026-07-07,2103.94
350,350,Debit Card,Paid,2024-05-28,3324.23
351,351,Cash,Paid,2024-07-06,1410.69
352,352,Insurance,Paid,2026-02-10,2119.65
353,353,Insurance,Paid,2026-07-04,2568.21
354,354,UPI,Paid,2025-07-30,2978.84
355,355,Insurance,Paid,2026-07-06,2951.21
356,356,Debit Card,Paid,2026-07-04,2321.26
357,357,Cash,Paid,2025-04-13,3427.59
358,358,Cash,Paid,2025-10-26,3106.04
359,359,Insurance,Paid,2026-07-07,3121.73
360,360,Debit Card,Paid,2025-09-14,1580.76
361,361,Debit Card,Paid,2023-12-21,3737.38
362,362,Cash,Paid,2026-04-04,2226.68
363,363,Credit Card,Paid,2025-01-30,2959.46
364,364,Cash,Paid,2026-05-11,1689.81
365,365,Debit Card,Paid,2025-04-23,2589.33
366,366,Insurance,Pending,,0.0
367,367,UPI,Pending,,0.0
368,368,Cash,Paid,2025-12-15,2517.95
369,369,Credit Card,Paid,2026-07-04,1464.99
370,370,Credit Card,Pending,,0.0
371,371,UPI,Pending,,0.0
372,372,UPI,Paid,2026-07-04,2267.93
373,373,UPI,Paid,2024-09-04,2164.09
374,374,UPI,Paid,2025-10-11,2333.1
375,375,UPI,Paid,2025-11-29,2598.59
376,376,Credit Card,Paid,2026-05-26,2823.32
377,377,UPI,Paid,2026-07-06,2496.71
378,378,Cash,Paid,2025-04-12,3308.21
379,379,Debit Card,Paid,2026-01-29,1162.27
380,380,Debit Card,Paid,2024-04-24,1501.7
381,381,Cash,Pending,,0.0
382,382,Debit Card,Pending,,0.0
383,383,Cash,Paid,2026-02-26,2564.17
384,384,Insurance,Paid,2024-07-19,1504.39
385,385,UPI,Paid,2025-02-08,1786.67
386,386,Cash,Paid,2026-07-07,2063.04
387,387,Insurance,Pending,,0.0
388,388,Credit Card,Paid,2025-02-23,1607.52
389,389,UPI,Paid,2026-04-06,3132.69
390,390,Insurance,Paid,2026-07-05,1225.72
391,391,Insurance,Paid,2024-03-02,2009.24
392,392,Credit Card,Paid,2026-07-09,3494.37
393,393,UPI,Refunded,2025-12-02,2276.2
394,394,UPI,Paid,2026-07-06,1577.16
395,395,Debit Card,Paid,2026-01-27,3172.83
396,396,Credit Card,Pending,,0.0
397,397,Debit Card,Paid,2024-08-25,2848.98
398,398,Debit Card,Paid,2025-02-09,2553.73
399,399,Insurance,Paid,2026-07-05,1982.58
400,400,UPI,Paid,2026-07-08,1823.73
401,401,UPI,Paid,2026-04-04,2647.58
402,402,Insurance,Pending,,0.0
403,403,Cash,Refunded,2024-08-28,2820.22
404,404,Credit Card,Pending,,0.0
405,405,Insurance,Paid,2025-03-13,3272.09
406,406,Cash,Paid,2024-08-13,2285.85
407,407,Insurance,Paid,2026-07-04,3762.0
408,408,Debit Card,Paid,2024-07-19,2954.88
409,409,Cash,Paid,2025-10-31,2985.26
410,410,Credit Card,Paid,2024-08-21,2369.52
411,411,Insurance,Paid,2025-08-16,2750.13
412,412,Cash,Paid,2024-07-08,2241.49
413,413,Cash,Pending,,0.0
414,414,Insurance,Paid,2025-12-25,3790.04
415,415,Debit Card,Paid,2025-07-03,1353.66
416,416,Credit Card,Paid,2026-07-06,2143.36
417,417,Cash,Paid,2026-07-04,1281.08
418,418,Credit Card,Pending,,0.0
419,419,UPI,Paid,2025-05-20,1784.2
420,420,Insurance,Paid,2025-09-21,2715.24
421,421,UPI,Paid,2025-08-30,3522.69
422,422,Credit Card,Paid,2026-07-05,2228.76
423,423,UPI,Paid,2024-11-13,2261.39
424,424,UPI,Paid,2026-01-12,2678.49
425,425,UPI,Paid,2024-10-24,1765.4
426,426,Insurance,Paid,2026-07-06,2427.54
427,427,Insurance,Paid,2026-07-06,2976.39
428,428,UPI,Pending,,0.0
429,429,Cash,Paid,2026-05-19,1529.72
430,430,UPI,Paid,2026-07-04,2341.01
431,431,Insurance,Paid,2024-08-24,2753.87
432,432,Cash,Pending,,0.0
433,433,Debit Card,Paid,2026-07-07,2230.39
434,434,Insurance,Paid,2025-08-07,1629.27
435,435,Debit Card,Paid,2026-07-05,2850.11
436,436,Debit Card,Paid,2026-03-28,3106.55
437,437,Insurance,Paid,2026-06-20,2303.19
438,438,Credit Card,Paid,2025-08-31,2879.32
439,439,UPI,Paid,2026-07-04,1750.47
440,440,Cash,Pending,,0.0
441,441,Credit Card,Paid,2026-07-05,2278.38
442,442,UPI,Paid,2026-07-02,2013.1
443,443,Credit Card,Paid,2025-11-26,1843.4
444,444,Insurance,Paid,2026-07-05,2698.88
445,445,Cash,Paid,2026-07-07,1864.92
446,446,Credit Card,Paid,2025-01-14,3382.22
447,447,Debit Card,Paid,2025-06-16,2181.13
448,448,Credit Card,Paid,2024-12-10,1876.71
449,449,UPI,Refunded,2026-07-07,2532.15
450,450,Insurance,Paid,2026-07-06,1679.59
451,451,UPI,Paid,2025-10-28,2765.84
452,452,Credit Card,Paid,2026-07-08,1901.7
453,453,Insurance,Paid,2026-05-05,2007.57
454,454,Insurance,Paid,2026-01-19,3020.65
455,455,Debit Card,Paid,2026-07-09,3305.66
456,456,UPI,Paid,2025-06-19,3154.84
457,457,UPI,Paid,2026-07-07,2079.61
458,458,UPI,Paid,2026-07-08,2865.79
459,459,Insurance,Paid,2025-05-15,2076.83
460,460,UPI,Paid,2026-03-05,2373.76
461,461,Insurance,Paid,2025-04-08,3329.57
462,462,UPI,Paid,2024-05-12,3001.08
463,463,Credit Card,Paid,2026-07-04,2334.02
464,464,UPI,Paid,2026-07-05,3042.27
465,465,Credit Card,Paid,2025-06-19,1502.97
466,466,Credit Card,Paid,2026-01-16,3709.2
467,467,Cash,Paid,2026-06-13,3274.04
468,468,UPI,Paid,2026-06-25,2126.02
469,469,Cash,Paid,2025-10-15,860.53
470,470,UPI,Paid,2025-07-09,3884.37
471,471,Credit Card,Paid,2026-07-04,1819.16
472,472,UPI,Paid,2026-05-04,1167.75
473,473,Insurance,Paid,2026-07-09,2447.28
474,474,UPI,Paid,2026-01-15,3403.07
475,475,Debit Card,Paid,2026-07-07,2107.39
476,476,Debit Card,Paid,2026-07-08,1537.49
477,477,Credit Card,Paid,2026-06-26,2189.09
478,478,Debit Card,Paid,2026-02-03,1742.75
479,479,UPI,Paid,2026-01-05,1585.06
480,480,Credit Card,Paid,2026-07-08,1062.8
481,481,Cash,Paid,2026-01-09,2320.57
482,482,UPI,Pending,,0.0
483,483,Insurance,Paid,2025-08-26,2628.19
484,484,Credit Card,Pending,,0.0
485,485,Debit Card,Paid,2026-04-28,2090.0
486,486,Debit Card,Paid,2025-05-18,1812.68
487,487,Credit Card,Paid,2025-12-23,1689.31
488,488,Credit Card,Paid,2024-01-14,1865.66
489,489,Credit Card,Paid,2026-07-08,2666.44
490,490,UPI,Paid,2026-07-06,3307.99
491,491,Cash,Paid,2024-10-09,2804.14
492,492,Debit Card,Paid,2026-07-07,2346.75
493,493,Insurance,Paid,2024-09-16,3259.89
494,494,Debit Card,Pending,,0.0
495,495,Debit Card,Paid,2026-07-08,1618.02
496,496,Debit Card,Paid,2025-10-19,1270.62
497,497,Cash,Paid,2025-03-03,3578.58
498,498,Insurance,Paid,2026-07-09,2926.93
499,499,Cash,Paid,2025-02-17,2736.94
500,500,Insurance,Paid,2024-10-10,2406.62
501,501,Debit Card,Paid,2025-03-27,3652.62
502,502,UPI,Paid,2024-08-27,1366.65
503,503,Debit Card,Paid,2026-02-05,1806.07
504,504,Debit Card,Paid,2026-07-04,1613.59
505,505,Debit Card,Pending,,0.0
506,506,Credit Card,Paid,2026-02-23,2210.94
507,507,Cash,Paid,2024-08-27,2966.93
508,508,Cash,Paid,2026-07-09,1481.73
509,509,Debit Card,Paid,2026-07-05,2805.12
510,510,Insurance,Paid,2026-02-04,1137.87
511,511,Cash,Pending,,0.0
512,512,Credit Card,Paid,2024-07-27,2315.33
513,513,Credit Card,Paid,2025-02-21,2810.71
514,514,Credit Card,Paid,2025-08-18,1410.42
515,515,UPI,Paid,2025-07-11,2621.13
516,516,Insurance,Paid,2024-08-08,2490.74
517,517,Insurance,Pending,,0.0
518,518,UPI,Paid,2025-11-09,2914.74
519,519,Insurance,Paid,2026-03-04,1655.17
520,520,Cash,Paid,2024-06-08,3076.93
521,521,Credit Card,Paid,2024-09-15,3059.44
522,522,Credit Card,Paid,2026-07-05,1310.67
523,523,Debit Card,Paid,2026-03-17,2773.84
524,524,Credit Card,Paid,2026-07-07,3451.18
525,525,Cash,Paid,2024-11-19,3110.06
526,526,Debit Card,Pending,,0.0
527,527,Debit Card,Paid,2026-07-07,2289.07
528,528,UPI,Paid,2026-03-25,2279.34
529,529,Cash,Paid,2025-01-22,3473.28
530,530,Insurance,Paid,2026-07-07,2800.71
531,531,UPI,Paid,2026-07-06,1509.27
532,532,UPI,Paid,2024-09-07,860.16
533,533,Credit Card,Paid,2026-05-14,1879.91
534,534,Credit Card,Paid,2024-06-28,2322.97
535,535,Insurance,Paid,2024-10-27,2494.84
536,536,Insurance,Paid,2023-12-16,2084.04
537,537,Cash,Paid,2026-07-05,2326.36
538,538,Cash,Pending,,0.0
539,539,Cash,Paid,2025-02-18,1445.77
540,540,Insurance,Paid,2025-12-04,2281.11
541,541,Credit Card,Paid,2026-01-16,1311.69
542,542,UPI,Paid,2025-11-15,1947.84
543,543,UPI,Paid,2026-03-23,3161.72
544,544,Cash,Paid,2025-07-19,3626.68
545,545,Cash,Paid,2024-09-23,2861.22
546,546,UPI,Paid,2026-07-07,2514.03
547,547,UPI,Paid,2024-11-29,2476.01
548,548,UPI,Paid,2025-09-23,1430.44
549,549,UPI,Pending,,0.0
550,550,Credit Card,Paid,2025-07-14,1912.71
551,551,UPI,Paid,2026-07-04,2541.16
552,552,UPI,Paid,2025-01-06,2217.38
553,553,Debit Card,Paid,2025-03-22,1509.82
554,554,UPI,Paid,2025-01-01,3383.21
555,555,UPI,Paid,2026-07-06,1999.33
556,556,Insurance,Paid,2026-03-25,1866.43
557,557,Debit Card,Refunded,2026-07-05,3327.25
558,558,Debit Card,Paid,2025-10-15,2097.54
559,559,UPI,Paid,2026-06-05,2573.63
560,560,Debit Card,Paid,2026-07-08,2844.84
561,561,Cash,Paid,2025-11-30,1607.78
562,562,Debit Card,Paid,2024-10-15,1865.66
563,563,Cash,Pending,,0.0
564,564,Debit Card,Paid,2026-07-06,2533.97
565,565,Debit Card,Paid,2026-07-09,1308.61
566,566,UPI,Paid,2026-03-16,3568.06
567,567,UPI,Paid,2026-05-13,1363.76
568,568,Cash,Paid,2024-04-05,2465.59
569,569,UPI,Paid,2025-07-01,1271.29
570,570,Insurance,Paid,2026-02-23,3085.46
571,571,Credit Card,Paid,2025-06-28,1513.03
572,572,Cash,Paid,2026-07-07,3138.77
573,573,UPI,Paid,2026-07-08,2366.06
